[2023-02-08T22:06:45.314532+00:00] playlaravel.DEBUG: test [] []
[2023-02-08T22:07:42.297546+00:00] playlaravel.DEBUG: test [] []
[2023-02-08T22:07:43.875214+00:00] playlaravel.DEBUG: test [] []
[2023-02-09T03:49:04.102254+00:00] info.NOTICE: This is a notice [] []
[2023-02-09T04:47:48.131287+00:00] name.DEBUG: This is from the index method! [] []
[2023-02-09T04:52:16.679923+00:00] LoggingController.DEBUG: This is from the index method! [] []
[2023-02-09T05:08:47.087852+00:00] Logging Controller.DEBUG: From inside the CustomAuthController [] []
[2023-02-09T05:12:19.962648+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:12:37.894369+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:12:37.895530+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:14:06.906272+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:14:06.907335+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:14:31.536697+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: registration, Entry [] []
[2023-02-09T05:14:31.538016+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: registration, Exit [] []
[2023-02-09T05:16:48.021456+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:16:48.022747+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:16:50.987840+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:16:50.988866+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:17:09.108707+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:17:09.109824+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:17:09.888813+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:17:09.889850+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:17:29.115341+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:17:29.116374+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
[2023-02-09T05:17:29.958207+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Entry [] []
[2023-02-09T05:17:29.959283+00:00] Logging Controller.INFO: Class: CustomAuthController, Method: index, Exit [] []
